query,expected_model,model_used,latency_ms
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,5286.512136459351
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12302.106618881226
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12161.0586643219
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,18881.2313079834
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,6396.912336349487
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12486.083269119263
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12191.931009292603
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,17872.95699119568
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,5791.37659072876
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12778.164148330688
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,17979.928016662598
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,8590.421676635742
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,9478.07264328003
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12389.557123184204
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,18632.160425186157
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,17606.8274974823
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,7078.305244445801
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,5864.467144012451
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,12207.414388656616
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,13045.874834060669
Explain transformer architecture and distributed consensus in detail.,premium,gpt-4o,11521.986722946167
